paired methods,Wilcoxon p,Cliff's delta,effect size (delta),Wilcoxon r, effect size (r) 
CloAct vs. h-index,1.9118338934198675E-7,0.4935064935064935,large,-0.41957670983065565,medium
CloAct vs. a-index,0.0,0.9358974358974359,large,-0.8613161823661705,large
CloAct vs. k-core,2.2870594307278225E-14,0.5974025974025974,large,-0.6150836125579142,large
CloAct vs. ForwardPageRank-Sora,1.5383914142574895E-9,0.6625,large,-0.47745937312067294,medium
CloAct vs. ForwardBackPageRank-Sora,1.5383914142574895E-9,0.6625,large,-0.47745937312067294,medium
CloAct vs. g-core,3.275157922644212E-13,0.6774193548387096,large,-0.5848784289442635,large
CloAct vs. MinClass,0.0,0.8441558441558441,large,-0.6947399565687229,large
CloAct vs. TSEPageRank,0.0,0.8860759493670886,large,-0.7455786208947219,large
CloAct vs. LiuPageRank,4.054534485931072E-12,0.656441717791411,large,-0.5431473668328013,large
CloAct vs. TSEPageRank_v15,0.0,0.810126582278481,large,-0.6638184016542523,large
CloAct vs. iFit,4.6407322429331543E-14,0.7662337662337663,large,-0.6076703396663974,large
