paired methods,Wilcoxon p,Cliff's delta,effect size (delta),Wilcoxon r, effect size (r) 
CloAct vs. h-index,2.137799937074192E-9,0.5454545454545454,large,-0.48237149197056317,medium
CloAct vs. a-index,0.0,0.9354838709677419,large,-0.8631118130764831,large
CloAct vs. k-core,1.199040866595169E-14,0.6493506493506493,large,-0.6217700939894785,large
CloAct vs. ForwardPageRank-Sora,3.0944326878667994E-8,0.6,large,-0.43759252560481415,medium
CloAct vs. ForwardBackPageRank-Sora,3.0944326878667994E-8,0.6,large,-0.43759252560481415,medium
CloAct vs. g-core,1.3623398180673263E-5,0.45222929936305734,medium,-0.34708546550613806,medium
CloAct vs. MinClass,1.021405182655144E-14,0.7721518987341772,large,-0.6154804341978936,large
CloAct vs. TSEPageRank,1.056932319443149E-13,0.7341772151898734,large,-0.5913114504697142,large
CloAct vs. LiuPageRank,1.2254641745812478E-12,0.6521739130434783,large,-0.5596868472671043,large
CloAct vs. TSEPageRank_v15,4.440892098500626E-16,0.8089171974522293,large,-0.6499023233827405,large
CloAct vs. iFit,5.631881627721214E-10,0.673202614379085,large,-0.5011992319764208,large
