neuroph(24),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,CloAct
1%=0.01,0.155279507,0,0.155279507,0.077639754,0.077639754,0.077639754,0.155279507,0.155279507,0.155279507,0.155279507,0.077639754,0.156924288
2%=0.02,0.218023256,0,0.145348841,0.145348841,0.145348841,0.145348841,0.290697682,0.218023256,0.218023256,0.218023256,0.218023256,0.296515946
3%=0.03,0.27322405,0,0.204918033,0.204918033,0.204918033,0.204918033,0.341530048,0.27322405,0.27322405,0.204918033,0.27322405,0.35124692
4%=0.04,0.322164943,0,0.257731965,0.257731965,0.257731965,0.193298969,0.451030916,0.386597938,0.322164943,0.322164943,0.322164943,0.333778365
5%=0.05,0.365853659,0,0.365853659,0.243902444,0.243902444,0.243902444,0.426829258,0.487804889,0.426829258,0.426829258,0.426829258,0.445151022
6%=0.06,0.405092583,0,0.347222222,0.347222222,0.347222222,0.231481486,0.405092583,0.520833333,0.520833333,0.462962973,0.405092583,0.546448087
7%=0.07,0.385462546,0,0.330396476,0.330396476,0.330396476,0.220264322,0.440528643,0.495594714,0.550660784,0.495594714,0.440528643,0.522799884
8%=0.08,0.420168075,0,0.31512605,0.367647051,0.367647051,0.210084038,0.472689076,0.472689076,0.525210076,0.525210076,0.472689076,0.556792864
9%=0.09,0.401606433,0,0.351405615,0.451807229,0.451807229,0.301204819,0.451807229,0.552208843,0.602409639,0.502008025,0.451807229,0.588078062
10%=0.1,0.432692308,0,0.336538455,0.432692308,0.432692308,0.288461538,0.432692308,0.576923077,0.576923077,0.52884616,0.480769224,0.565552707
11%=0.11,0.461254606,0,0.369003696,0.415129151,0.415129151,0.322878223,0.415129151,0.553505535,0.553505535,0.553505535,0.461254606,0.544689287
12%=0.12,0.443262406,0,0.39893617,0.39893617,0.39893617,0.310283682,0.487588658,0.531914894,0.531914894,0.531914894,0.443262406,0.573065903
13%=0.13,0.469283282,0.042662117,0.469283282,0.383959044,0.383959044,0.298634807,0.511945392,0.554607519,0.511945392,0.511945392,0.469283282,0.599492749
14%=0.14,0.493421053,0.041118422,0.493421053,0.370065789,0.370065789,0.287828943,0.493421053,0.534539483,0.534539483,0.493421053,0.493421053,0.57958093
15%=0.15,0.476190476,0.03968254,0.476190476,0.357142857,0.357142857,0.277777773,0.476190476,0.515873025,0.515873025,0.476190476,0.515873025,0.560949309
