software11,h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,CloAct
ant_main(10)11%=0.11,0.110091744,0,0.073394496,0.146788991,0.146788991,0.128440367,0.110091744,0.146788991,0.146788991,0.146788991,0.146788991,0.150121974
argouml(12)11%=0.11,0.171330668,0,0.190367409,0.209404151,0.209404151,0.171330668,0.209404151,0.209404151,0.228440891,0.228440891,0.228440891,0.237130718
jedit(7)11%=0.11,0.09448075,0,0.09448075,0.110227541,0.110227541,0.09448075,0.110227541,0.110227541,0.110227541,0.110227541,0.110227541,0.110610729
jgap(18)11%=0.11,0.31367629,0,0.31367629,0.250941029,0.250941029,0.345043914,0.188205773,0.188205773,0.188205773,0.156838145,0.219573401,0.273597812
jhotdraw(9)11%=0.11,0.261475886,0,0.261475886,0.261475886,0.261475886,0.261475886,0.203370134,0.203370134,0.203370134,0.261475886,0.261475886,0.363783347
jmeter_core(14)11%=0.11,0.328638498,0.046948357,0.328638498,0.234741786,0.234741786,0.281690142,0.234741786,0.234741786,0.18779343,0.328638498,0.37558686,0.340053437
JPMC(24)11%=0.11,0,0.0497884,0,0.248941993,0.248941993,0,0.0995768,0.0497884,0.0995768,0.0497884,0,0.051480052
Maze(27)11%=0.11,0.231280718,0.173460539,0.231280718,0.346921077,0.346921077,0.346921077,0.404741248,0.404741248,0.404741248,0.404741248,0.346921077,0.409956069
neuroph(24)11%=0.11,0.461254606,0,0.369003696,0.415129151,0.415129151,0.322878223,0.415129151,0.553505535,0.553505535,0.553505535,0.461254606,0.544689287
tomcat(28)11%=0.11,0.200300451,0.008345852,0.208646303,0.11684193,0.11684193,0.216992154,0.158571189,0.141879486,0.11684193,0.158571189,0.208646303,0.208233916
Xerces(6)11%=0.11,0.084523709,0,0.084523709,0.067618967,0.067618967,0.101428451,0.050714225,0.050714225,0.016904742,0.050714225,0.067618967,0.087873462
