software05,h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,CloAct
ant_main(10)5%=0.05,0.145454546,0,0.072727273,0.10909091,0.10909091,0.072727273,0.181818182,0.21818182,0.181818182,0.254545454,0.254545454,0.259740259
argouml(12)5%=0.05,0.294659302,0,0.294659302,0.368324123,0.368324123,0.257826886,0.368324123,0.40515654,0.40515654,0.40515654,0.40515654,0.418648908
jedit(7)5%=0.05,0.194963445,0,0.194963445,0.194963445,0.194963445,0.194963445,0.162469537,0.194963445,0.227457352,0.194963445,0.227457352,0.228198859
jgap(18)5%=0.05,0.309278355,0,0.154639177,0.257731964,0.257731964,0.206185568,0.154639177,0.154639177,0.154639177,0.154639177,0.154639177,0.219780221
jhotdraw(9)5%=0.05,0.331491715,0,0.331491715,0.386740333,0.386740333,0.441988951,0.331491715,0.331491715,0.276243097,0.386740333,0.386740333,0.510948908
jmeter_core(14)5%=0.05,0.148148152,0,0.148148152,0.148148152,0.148148152,0.222222223,0.148148152,0.222222223,0.222222223,0.222222223,0.222222223,0.227703986
JPMC(24)5%=0.05,0,0,0,0.127591709,0.127591709,0,0,0,0.063795855,0,0,0
Maze(27)5%=0.05,0.131362891,0,0.065681445,0.197044336,0.197044336,0.197044336,0.197044336,0.197044336,0.197044336,0.197044336,0.197044336,0.198347109
neuroph(24)5%=0.05,0.365853659,0,0.365853659,0.243902444,0.243902444,0.243902444,0.426829258,0.487804889,0.426829258,0.426829258,0.426829258,0.445151022
tomcat(28)5%=0.05,0.305958129,0,0.305958129,0.128824478,0.128824478,0.225442834,0.225442834,0.177133655,0.128824478,0.209339773,0.257648956,0.283215328
Xerces(6)5%=0.05,0.105170903,0,0.105170903,0.035056968,0.035056968,0.105170903,0.035056968,0.035056968,0,0.035056968,0.035056968,0.036363636
