software,h-index,a-index,PageRank,PageRankBR,k-core,ICOOK,PageRankIVOL,ElementRank,Pride,MinClass,iFit,CloAct
software01,6.227272727,10.31818182,6.636363636,6.636363636,7.227272727,6.090909091,5.818181818,6.818181818,6.409090909,6.136363636,6.545454545,3.136363636
software02,6.045454545,11.18181818,7.136363636,7.136363636,6.954545455,7.272727273,5.545454545,5.863636364,6.272727273,5.863636364,5.454545455,3.272727273
software03,6,11.54545455,6.863636364,6.863636364,7.227272727,5.454545455,5.954545455,6.045454545,6.181818182,6.5,5.272727273,4.090909091
software04,6.090909091,11.54545455,6.318181818,6.318181818,7.363636364,6.363636364,6.681818182,6.409090909,5.545454545,6.909090909,5.909090909,2.545454545
software05,6.454545455,11.59090909,6.636363636,6.636363636,7.545454545,6.409090909,6.318181818,5.954545455,5.681818182,7.318181818,5,2.454545455
software06,6.227272727,11.63636364,6.318181818,6.318181818,8.045454545,6.590909091,6.363636364,5.409090909,5.545454545,7.136363636,4.818181818,3.590909091
software07,6.590909091,11.63636364,6.545454545,6.545454545,7.863636364,6.045454545,6.727272727,6.136363636,5.681818182,6.545454545,5,2.681818182
software08,6.590909091,11.27272727,6.636363636,6.636363636,7.363636364,6.545454545,7.045454545,6.590909091,5.454545455,6.681818182,4.5,2.681818182
software09,7,11.36363636,6.090909091,6.090909091,7.409090909,6.318181818,6.545454545,6.136363636,5.954545455,6.454545455,5.272727273,3.363636364
software10,6.590909091,11.45454545,6,6,7.5,6.409090909,6.772727273,6.545454545,6.272727273,7.136363636,5.045454545,2.272727273
software11,6.954545455,11.54545455,6.181818182,6.181818182,7.136363636,6.5,6.590909091,6.636363636,5.5,7.181818182,5.227272727,2.363636364
software12,6.909090909,11.54545455,6.318181818,6.318181818,7.5,6.409090909,6.727272727,6.681818182,5.454545455,7.090909091,4.863636364,2.181818182
software13,6.409090909,11.22727273,6.272727273,6.272727273,7.181818182,6.727272727,7,6.863636364,5.636363636,7.181818182,5.136363636,2.090909091
software14,6.181818182,11.27272727,6.409090909,6.409090909,7.045454545,6.590909091,6.863636364,7.090909091,5.590909091,7.136363636,5.136363636,2.272727273
software15,6,11.27272727,6.090909091,6.090909091,7.318181818,6.409090909,6.772727273,7,5.772727273,7.181818182,5.090909091,3
