% k, CloAct(W/T/L),W,T,L
CloAct-1(W/T/L): ,82|31|8,82,31,8
CloAct-2(W/T/L): ,88|16|17,88,16,17
CloAct-3(W/T/L): ,83|8|30,83,8,30
CloAct-4(W/T/L): ,100|8|13,100,8,13
CloAct-5(W/T/L): ,101|8|12,101,8,12
CloAct-6(W/T/L): ,89|7|25,89,7,25
CloAct-7(W/T/L): ,99|7|15,99,7,15
CloAct-8(W/T/L): ,100|5|16,100,5,16
CloAct-9(W/T/L): ,93|4|24,93,4,24
CloAct-10(W/T/L): ,107|0|14,107,0,14
CloAct-11(W/T/L): ,106|0|15,106,0,15
CloAct-12(W/T/L): ,108|0|13,108,0,13
CloAct-13(W/T/L): ,109|0|12,109,0,12
CloAct-14(W/T/L): ,107|0|14,107,0,14
CloAct-15(W/T/L): ,99|0|22,99,0,22
,,1471,94,250
,,86.23%,67.27%,
