software03,h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,CloAct
ant_main(10)3%=0.03,0.162162164,0,0.108108109,0.108108109,0.108108109,0.108108109,0.27027027,0.27027027,0.27027027,0.324324328,0.378378377,0.385250411
argouml(12)3%=0.03,0.321027287,0,0.321027287,0.374531831,0.374531831,0,0.428036387,0.374531831,0.481540931,0.481540931,0.481540931,0.495458299
jedit(7)3%=0.03,0.302038762,0,0.302038762,0.302038762,0.302038762,0.251698969,0.251698969,0.302038762,0.302038762,0.302038762,0.302038762,0.3029538
jgap(18)3%=0.03,0.393700794,0,0.131233596,0.196850397,0.196850397,0.196850397,0.131233596,0.131233596,0.131233596,0.131233596,0.196850397,0.137741047
jhotdraw(9)3%=0.03,0.394944714,0,0.394944714,0.473933654,0.473933654,0.473933654,0.315955767,0.394944714,0.315955767,0.394944714,0.394944714,0.499002007
jmeter_core(14)3%=0.03,0.091743122,0,0.183486244,0.091743122,0.091743122,0.183486244,0.091743122,0.183486244,0.183486244,0.183486244,0.183486244,0.18682859
JPMC(24)3%=0.03,0,0,0,0,0,0,0,0,0.070397749,0,0,0
Maze(27)3%=0.03,0.1375989,0,0.06879945,0.1375989,0.1375989,0.06879945,0.1375989,0.1375989,0.1375989,0.1375989,0.1375989,0.069084629
neuroph(24)3%=0.03,0.27322405,0,0.136612025,0.136612025,0.136612025,0.204918033,0.341530048,0.27322405,0.27322405,0.204918033,0.27322405,0.280997548
tomcat(28)3%=0.03,0.32664489,0,0.32664489,0.11665889,0.11665889,0.256649555,0.256649555,0.186654226,0.139990668,0.209986,0.233317781,0.312387357
Xerces(6)3%=0.03,0.10920011,0,0.163800164,0.054600055,0.054600055,0.054600055,0.054600055,0.054600055,0,0.054600055,0.054600055,0.056497175
