software09,h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,CloAct
ant_main(10)9%=0.09,0.131868132,0,0.043956044,0.131868132,0.131868132,0.153846154,0.131868132,0.175824176,0.175824176,0.175824176,0.175824176,0.179734891
argouml(12)9%=0.09,0.181529386,0,0.158838211,0.249602905,0.249602905,0.136147039,0.226911731,0.226911731,0.249602905,0.249602905,0.249602905,0.258853984
jedit(7)9%=0.09,0.114079285,0,0.114079285,0.133092499,0.133092499,0.114079285,0.114079285,0.133092499,0.133092499,0.133092499,0.133092499,0.133549556
jgap(18)9%=0.09,0.324675325,0,0.216450219,0.216450219,0.216450219,0.288600289,0.216450219,0.180375183,0.180375183,0.180375183,0.216450219,0.234741787
jhotdraw(9)9%=0.09,0.27605245,0,0.27605245,0.27605245,0.27605245,0.27605245,0.241545894,0.241545894,0.241545894,0.27605245,0.310559006,0.379867047
jmeter_core(14)9%=0.09,0.267379682,0,0.320855616,0.213903747,0.213903747,0.213903747,0.267379682,0.213903747,0.213903747,0.267379682,0.320855616,0.276014355
JPMC(24)9%=0.09,0,0.053720119,0,0.214880477,0.214880477,0,0,0.053720119,0.107440238,0.053720119,0,0
Maze(27)9%=0.09,0.240891299,0.060222825,0.180668474,0.361336949,0.361336949,0.301114114,0.361336949,0.361336949,0.361336949,0.361336949,0.301114114,0.304413995
neuroph(24)9%=0.09,0.351405615,0,0.351405615,0.401606433,0.401606433,0.200803216,0.401606433,0.502008025,0.602409639,0.502008025,0.401606433,0.588078062
tomcat(28)9%=0.09,0.238616027,0.009942335,0.218731357,0.119308014,0.119308014,0.218731357,0.208789024,0.169019686,0.119308014,0.19884669,0.248558361,0.24781868
Xerces(6)9%=0.09,0.081724385,0,0.10215548,0.040862192,0.040862192,0.061293288,0.040862192,0.020431096,0.020431096,0.020431096,0.061293288,0.08492569
