software08,h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,CloAct
ant_main(10)8%=0.08,0.146341464,0,0.048780488,0.12195122,0.12195122,0.12195122,0.146341464,0.195121952,0.195121952,0.195121952,0.195121952,0.199401795
argouml(12)8%=0.08,0.17570281,0,0.17570281,0.276104419,0.276104419,0.125502008,0.225903614,0.225903614,0.276104419,0.276104419,0.276104419,0.286160251
jedit(7)8%=0.08,0.127280441,0,0.127280441,0.148493848,0.148493848,0.127280441,0.106067035,0.148493848,0.148493848,0.148493848,0.148493848,0.148999574
jgap(18)8%=0.08,0.351014041,0,0.156006241,0.195007804,0.195007804,0.312012481,0.234009363,0.195007804,0.156006241,0.156006241,0.234009363,0.252951099
jhotdraw(9)8%=0.08,0.30464585,0,0.30464585,0.30464585,0.30464585,0.30464585,0.266565119,0.266565119,0.266565119,0.30464585,0.34272658,0.416233091
jmeter_core(14)8%=0.08,0.229885062,0,0.344827588,0.172413794,0.172413794,0.229885062,0.287356325,0.229885062,0.229885062,0.287356325,0.287356325,0.296208534
JPMC(24)8%=0.08,0,0.055928413,0,0.223713651,0.223713651,0,0,0.055928413,0.055928413,0.055928413,0,0
Maze(27)8%=0.08,0.246002462,0.061500615,0.184501846,0.307503067,0.307503067,0.246002462,0.307503067,0.307503067,0.307503067,0.307503067,0.307503067,0.310558998
neuroph(24)8%=0.08,0.31512605,0,0.31512605,0.367647051,0.367647051,0.157563025,0.367647051,0.525210076,0.5777311,0.472689076,0.367647051,0.556792864
tomcat(28)8%=0.08,0.241864555,0.010993844,0.241864555,0.131926122,0.131926122,0.230870712,0.21987687,0.186895339,0.120932278,0.208883024,0.263852243,0.273847559
Xerces(6)8%=0.08,0.091240876,0,0.114051095,0.045620438,0.045620438,0.045620438,0.045620438,0.022810219,0,0.022810219,0.045620438,0.09478673
