software12,h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,CloAct
ant_main(10)12%=0.12,0.118644068,0,0.101694916,0.135593221,0.135593221,0.118644068,0.118644068,0.135593221,0.135593221,0.135593221,0.135593221,0.138696255
argouml(12)12%=0.12,0.176180408,0,0.176180408,0.21141649,0.21141649,0.158562368,0.21141649,0.21141649,0.21141649,0.21141649,0.21141649,0.219538968
jedit(7)12%=0.12,0.087006961,0,0.087006961,0.101508121,0.101508121,0.087006961,0.101508121,0.101508121,0.101508121,0.101508121,0.101508121,0.101862631
jgap(18)12%=0.12,0.323910482,0,0.294464079,0.294464079,0.294464079,0.323910482,0.206124854,0.176678447,0.176678447,0.176678447,0.206124854,0.225225226
jhotdraw(9)12%=0.12,0.242326333,0,0.242326333,0.242326333,0.242326333,0.242326333,0.215401185,0.188476037,0.188476037,0.242326333,0.242326333,0.338600451
jmeter_core(14)12%=0.12,0.309734513,0.044247788,0.309734513,0.265486726,0.265486726,0.309734513,0.265486726,0.265486726,0.22123894,0.309734513,0.353982306,0.320806599
JPMC(24)12%=0.12,0,0.04803074,0,0.288184438,0.288184438,0.04803074,0.096061481,0.04803074,0.096061481,0.04803074,0,0.049751245
Maze(27)12%=0.12,0.283446705,0.226757371,0.226757371,0.39682539,0.39682539,0.39682539,0.39682539,0.453514742,0.39682539,0.453514742,0.39682539,0.402298844
neuroph(24)12%=0.12,0.443262406,0,0.39893617,0.443262406,0.443262406,0.310283682,0.531914894,0.576241146,0.620567365,0.531914894,0.487588658,0.620821408
tomcat(28)12%=0.12,0.193139678,0.007725587,0.200865265,0.115883807,0.115883807,0.200865265,0.146786155,0.139060568,0.100432633,0.16223733,0.200865265,0.208902458
Xerces(6)12%=0.12,0.093370682,0,0.077808901,0.062247121,0.062247121,0.093370682,0.046685341,0.046685341,0.031123561,0.062247121,0.077808901,0.097087379
