software08,h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,CloAct
ant_main(10)8%=0.08,0.12195122,0,0.073170732,0.097560976,0.097560976,0.146341464,0.170731707,0.195121952,0.195121952,0.195121952,0.195121952,0.199401795
argouml(12)8%=0.08,0.200803214,0,0.225903614,0.276104419,0.276104419,0.225903614,0.276104419,0.301204819,0.301204819,0.301204819,0.301204819,0.312174818
jedit(7)8%=0.08,0.127280441,0,0.127280441,0.148493848,0.148493848,0.127280441,0.148493848,0.127280441,0.148493848,0.148493848,0.148493848,0.148999574
jgap(18)8%=0.08,0.351014041,0,0.195007804,0.234009363,0.234009363,0.273010922,0.234009363,0.195007804,0.156006241,0.156006241,0.234009363,0.252951099
jhotdraw(9)8%=0.08,0.30464585,0,0.30464585,0.30464585,0.30464585,0.34272658,0.266565119,0.266565119,0.266565119,0.30464585,0.34272658,0.416233091
jmeter_core(14)8%=0.08,0.229885062,0,0.344827588,0.229885062,0.229885062,0.344827588,0.229885062,0.229885062,0.172413794,0.287356325,0.402298851,0.296208534
JPMC(24)8%=0.08,0,0.055928413,0,0.167785235,0.167785235,0.055928413,0.111856826,0.055928413,0.111856826,0.055928413,0,0
Maze(27)8%=0.08,0.246002462,0.061500615,0.184501846,0.307503067,0.307503067,0.246002462,0.307503067,0.307503067,0.246002462,0.307503067,0.307503067,0.310558998
neuroph(24)8%=0.08,0.420168075,0,0.31512605,0.420168075,0.420168075,0.262605038,0.472689076,0.525210076,0.525210076,0.525210076,0.420168075,0.501113586
tomcat(28)8%=0.08,0.252858401,0,0.230870712,0.131926122,0.131926122,0.263852243,0.197889182,0.153913808,0.120932278,0.186895339,0.230870712,0.251026927
Xerces(6)8%=0.08,0.114051095,0,0.114051095,0.045620438,0.045620438,0.091240876,0.068430657,0.068430657,0,0.068430657,0.091240876,0.071090047
