software13,h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,CloAct
ant_main(10)13%=0.13,0.11023622,0,0.11023622,0.125984252,0.125984252,0.11023622,0.11023622,0.125984252,0.125984252,0.125984252,0.141732283,0.128886741
argouml(12)13%=0.13,0.163961305,0,0.163961305,0.196753566,0.196753566,0.147565175,0.196753566,0.196753566,0.196753566,0.196753566,0.196753566,0.204377076
jedit(7)13%=0.13,0.094067056,0,0.080628906,0.094067056,0.094067056,0.080628906,0.094067056,0.094067056,0.094067056,0.094067056,0.094067056,0.094396871
jgap(18)13%=0.13,0.332963377,0,0.332963377,0.277469482,0.277469482,0.332963377,0.194228636,0.166481688,0.166481688,0.166481688,0.194228636,0.243013366
jhotdraw(9)13%=0.13,0.225790266,0,0.225790266,0.225790266,0.225790266,0.225790266,0.200702459,0.200702459,0.175614652,0.225790266,0.225790266,0.316678395
jmeter_core(14)13%=0.13,0.334728038,0.041841005,0.292887029,0.334728038,0.334728038,0.334728038,0.292887029,0.251046026,0.209205022,0.292887029,0.334728038,0.303621774
JPMC(24)13%=0.13,0,0.092785898,0,0.27835769,0.27835769,0.046392949,0.092785898,0.092785898,0.092785898,0.046392949,0,0.048134778
Maze(27)13%=0.13,0.278009445,0.222407563,0.222407563,0.389213227,0.389213227,0.389213227,0.389213227,0.444815126,0.389213227,0.444815126,0.389213227,0.451339918
neuroph(24)13%=0.13,0.469283282,0.042662117,0.469283282,0.426621155,0.426621155,0.341296934,0.554607519,0.597269614,0.639931741,0.511945392,0.469283282,0.599492749
tomcat(28)13%=0.13,0.179778513,0.014382281,0.186969653,0.107867107,0.107867107,0.194160794,0.136631669,0.129440529,0.107867107,0.158205091,0.186969653,0.194516141
Xerces(6)13%=0.13,0.086498955,0,0.086498955,0.072082462,0.072082462,0.086498955,0.043249477,0.043249477,0.028832985,0.05766597,0.086498955,0.089955022
