software09,h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,CloAct
ant_main(10)9%=0.09,0.131868132,0,0.087912088,0.10989011,0.10989011,0.153846154,0.153846154,0.175824176,0.175824176,0.175824176,0.175824176,0.179734891
argouml(12)9%=0.09,0.181529386,0,0.204220558,0.272294078,0.272294078,0.204220558,0.249602905,0.272294078,0.272294078,0.272294078,0.272294078,0.282386163
jedit(7)9%=0.09,0.114079285,0,0.114079285,0.133092499,0.133092499,0.114079285,0.133092499,0.133092499,0.133092499,0.133092499,0.133092499,0.133549556
jgap(18)9%=0.09,0.324675325,0,0.216450219,0.324675325,0.324675325,0.252525254,0.216450219,0.216450219,0.144300145,0.144300145,0.252525254,0.273865416
jhotdraw(9)9%=0.09,0.27605245,0,0.27605245,0.310559006,0.310559006,0.310559006,0.241545894,0.241545894,0.241545894,0.27605245,0.310559006,0.379867047
jmeter_core(14)9%=0.09,0.267379682,0,0.320855616,0.213903747,0.213903747,0.320855616,0.267379682,0.213903747,0.213903747,0.267379682,0.374331551,0.276014355
JPMC(24)9%=0.09,0,0.053720119,0,0.161160355,0.161160355,0.053720119,0.107440238,0.053720119,0.107440238,0.053720119,0,0
Maze(27)9%=0.09,0.240891299,0.12044565,0.180668474,0.301114114,0.301114114,0.301114114,0.361336949,0.361336949,0.301114114,0.361336949,0.301114114,0.304413995
neuroph(24)9%=0.09,0.401606433,0,0.351405615,0.451807229,0.451807229,0.301204819,0.502008025,0.552208843,0.602409639,0.552208843,0.451807229,0.534616405
tomcat(28)9%=0.09,0.228673694,0,0.218731357,0.129250347,0.129250347,0.238616027,0.188904354,0.159077352,0.119308014,0.19884669,0.228673694,0.227167122
Xerces(6)9%=0.09,0.10215548,0,0.10215548,0.061293288,0.061293288,0.10215548,0.061293288,0.061293288,0,0.061293288,0.081724385,0.08492569
