software10,h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,CloAct
ant_main(10)10%=0.1,0.12,0,0.08,0.12,0.12,0.14,0.14,0.16,0.16,0.16,0.16,0.163599182
argouml(12)10%=0.1,0.165631471,0,0.186335404,0.248447205,0.248447205,0.186335404,0.227743272,0.248447205,0.248447205,0.248447205,0.248447205,0.257787325
jedit(7)10%=0.1,0.103359173,0,0.103359173,0.120585702,0.120585702,0.103359173,0.120585702,0.120585702,0.120585702,0.120585702,0.120585702,0.121002593
jgap(18)10%=0.1,0.302013423,0,0.302013423,0.335570475,0.335570475,0.268456376,0.201342284,0.201342284,0.167785237,0.167785237,0.23489933,0.255474454
jhotdraw(9)10%=0.1,0.283911672,0,0.252365931,0.283911672,0.283911672,0.283911672,0.22082019,0.22082019,0.22082019,0.252365931,0.283911672,0.3930131
jmeter_core(14)10%=0.1,0.300000001,0,0.300000001,0.300000001,0.300000001,0.35,0.300000001,0.250000002,0.250000002,0.300000001,0.400000006,0.258397935
JPMC(24)10%=0.1,0,0.051679588,0,0.258397929,0.258397929,0.051679588,0.103359175,0.051679588,0.103359175,0.051679588,0,0.053333334
Maze(27)10%=0.1,0.235988202,0.117994101,0.176991151,0.294985243,0.294985243,0.294985243,0.353982303,0.353982303,0.294985243,0.353982303,0.294985243,0.358208957
neuroph(24)10%=0.1,0.432692308,0,0.336538455,0.432692308,0.432692308,0.288461538,0.52884616,0.52884616,0.576923077,0.52884616,0.432692308,0.565552707
tomcat(28)10%=0.1,0.217785844,0,0.199637023,0.127041742,0.127041742,0.235934663,0.172413792,0.154264973,0.117967332,0.190562613,0.208711435,0.216878832
Xerces(6)10%=0.1,0.092506938,0,0.092506938,0.055504163,0.055504163,0.092506938,0.055504163,0.055504163,0.037002775,0.055504163,0.074005551,0.076923077
