software01,h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,CloAct
ant_main(10)1%=0.01,0.210526317,0,0.210526317,0.210526317,0.210526317,0.210526317,0.526315789,0.210526317,0.210526317,0.210526317,0.210526317,0.212992547
argouml(12)1%=0.01,0.195503425,0,0.293255132,0.391006849,0.391006849,0.097751712,0.488758546,0.391006849,0.391006849,0.488758546,0.488758546,0.596718051
jedit(7)1%=0.01,0.446677841,0,0.446677841,0.446677841,0.446677841,0.558347297,0.446677841,0.558347297,0.558347297,0.558347297,0.558347297,0.559597095
jgap(18)1%=0.01,0.090252708,0,0.090252708,0.090252708,0.090252708,0,0,0,0.090252708,0,0,0.092250923
jhotdraw(9)1%=0.01,0.415512473,0,0.138504156,0.415512473,0.415512473,0.554016623,0.277008312,0.277008312,0.138504156,0.277008312,0.277008312,0.315457415
jmeter_core(14)1%=0.01,0.120481932,0,0,0.120481932,0.120481932,0.120481932,0.120481932,0.120481932,0.120481932,0.120481932,0.120481932,0.121432913
JPMC(24)1%=0.01,0,0,0,0,0,0,0,0,0,0,0,0
Maze(27)1%=0.01,0,0,0,0,0,0,0,0,0,0,0,0
neuroph(24)1%=0.01,0.155279507,0,0.155279507,0.077639754,0.077639754,0.077639754,0.155279507,0.155279507,0.155279507,0.077639754,0.077639754,0.156924288
tomcat(28)1%=0.01,0.296359018,0,0.296359018,0.084674007,0.084674007,0.296359018,0.127011008,0.084674007,0.127011008,0.127011008,0.211685016,0.258564966
Xerces(6)1%=0.01,0,0,0,0,0,0.123380631,0,0,0,0,0,0
