argouml(12),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,CloAct
1%=0.01,0.097751712,0,0.293255132,0.488758546,0.488758546,0,0.391006849,0.293255132,0.488758546,0.391006849,0.488758546,0.596718051
2%=0.02,0.276625176,0,0.20746888,0.484094046,0.484094046,0,0.345781463,0.414937759,0.414937759,0.553250353,0.484094046,0.566973785
3%=0.03,0.321027287,0,0.321027287,0.374531831,0.374531831,0,0.428036387,0.374531831,0.481540931,0.481540931,0.481540931,0.495458299
4%=0.04,0.261780105,0,0.305410119,0.305410119,0.305410119,0,0.392670157,0.392670157,0.392670157,0.392670157,0.392670157,0.405040504
5%=0.05,0.220994475,0,0.257826886,0.331491713,0.331491713,0.110497238,0.331491713,0.331491713,0.331491713,0.331491713,0.331491713,0.342530923
6%=0.06,0.191204589,0,0.223072019,0.318674313,0.318674313,0.095602294,0.286806883,0.286806883,0.318674313,0.318674313,0.350541748,0.32970656
7%=0.07,0.196573995,0,0.196573995,0.308901995,0.308901995,0.112327998,0.252737995,0.252737995,0.280819993,0.280819993,0.308901995,0.290824486
8%=0.08,0.17570281,0,0.17570281,0.276104419,0.276104419,0.125502008,0.225903614,0.225903614,0.276104419,0.276104419,0.276104419,0.286160251
9%=0.09,0.181529386,0,0.158838211,0.249602905,0.249602905,0.136147039,0.226911731,0.226911731,0.249602905,0.249602905,0.249602905,0.258853984
10%=0.1,0.165631471,0,0.144927536,0.227743272,0.227743272,0.144927536,0.207039337,0.207039337,0.227743272,0.227743272,0.248447205,0.236305049
11%=0.11,0.152293928,0,0.152293928,0.209404151,0.209404151,0.152293928,0.190367409,0.190367409,0.209404151,0.209404151,0.228440891,0.237130718
12%=0.12,0.140944327,0,0.140944327,0.19379845,0.19379845,0.140944327,0.176180408,0.19379845,0.19379845,0.19379845,0.21141649,0.219538968
13%=0.13,0.131169044,0,0.131169044,0.180357436,0.180357436,0.131169044,0.180357436,0.180357436,0.196753566,0.180357436,0.196753566,0.204377076
14%=0.14,0.122661761,0,0.122661761,0.168659921,0.168659921,0.122661761,0.168659921,0.18399264,0.18399264,0.168659921,0.18399264,0.191174128
15%=0.15,0.115190785,0.028797696,0.115190785,0.158387329,0.158387329,0.115190785,0.158387329,0.172786177,0.172786177,0.172786177,0.172786177,0.179573513
