neuroph(24),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,CloAct
1%=0.01,0.155279507,0,0.155279507,0.077639754,0.077639754,0.077639754,0.155279507,0.155279507,0.155279507,0.077639754,0.077639754,0.156924288
2%=0.02,0.218023256,0,0.145348841,0.145348841,0.145348841,0.145348841,0.290697682,0.218023256,0.218023256,0.145348841,0.218023256,0.222386953
3%=0.03,0.27322405,0,0.136612025,0.136612025,0.136612025,0.204918033,0.341530048,0.27322405,0.27322405,0.204918033,0.27322405,0.280997548
4%=0.04,0.322164943,0,0.257731965,0.257731965,0.257731965,0.193298969,0.386597938,0.386597938,0.322164943,0.322164943,0.322164943,0.400534045
5%=0.05,0.304878043,0,0.304878043,0.304878043,0.304878043,0.182926829,0.365853659,0.426829258,0.426829258,0.426829258,0.365853659,0.445151022
6%=0.06,0.289351847,0,0.289351847,0.347222222,0.347222222,0.173611111,0.347222222,0.462962973,0.520833333,0.462962973,0.405092583,0.546448087
7%=0.07,0.330396476,0,0.275330392,0.330396476,0.330396476,0.165198238,0.330396476,0.495594714,0.550660784,0.440528643,0.385462546,0.522799884
8%=0.08,0.31512605,0,0.31512605,0.367647051,0.367647051,0.157563025,0.367647051,0.525210076,0.5777311,0.472689076,0.367647051,0.556792864
9%=0.09,0.351405615,0,0.351405615,0.401606433,0.401606433,0.200803216,0.401606433,0.502008025,0.602409639,0.502008025,0.401606433,0.588078062
10%=0.1,0.384615391,0,0.384615391,0.432692308,0.432692308,0.192307696,0.432692308,0.480769224,0.576923077,0.480769224,0.432692308,0.565552707
11%=0.11,0.369003696,0,0.369003696,0.415129151,0.415129151,0.184501848,0.415129151,0.50738008,0.553505535,0.50738008,0.415129151,0.544689287
12%=0.12,0.354609935,0,0.443262406,0.39893617,0.39893617,0.265957447,0.443262406,0.531914894,0.531914894,0.531914894,0.443262406,0.525310417
13%=0.13,0.426621155,0.042662117,0.511945392,0.383959044,0.383959044,0.255972696,0.426621155,0.511945392,0.554607519,0.511945392,0.426621155,0.553377911
14%=0.14,0.452302636,0.041118422,0.493421053,0.370065789,0.370065789,0.246710526,0.452302636,0.534539483,0.534539483,0.493421053,0.452302636,0.534997771
15%=0.15,0.436507941,0.03968254,0.476190476,0.357142857,0.357142857,0.238095238,0.476190476,0.515873025,0.515873025,0.476190476,0.476190476,0.560949309
